samples,mean_var,std_var,abs_err,rmse
100,0.03142166483935472,0.0040697812465371784,0.0033722706186935874,0.00417513161209046
127,0.03164782372164812,0.003702766168269368,0.0029890118958195446,0.003768726403009789
161,0.031517830484924174,0.0033787941801573934,0.0027979772980014487,0.003483135864564197
204,0.03198444760072225,0.0031693007695266346,0.0024686799669913257,0.00318818198517533
259,0.031973555071139054,0.002515859954252581,0.00205444168691696,0.0025450482507160875
329,0.03206065282532353,0.002269616095496716,0.001790391798691634,0.0022887943679157884
418,0.03206864631167058,0.0019252340383711687,0.001519769841500203,0.001948295988500622
530,0.032120762155248776,0.0018888757118662584,0.001534269168416748,0.0019043002982168768
672,0.03221840224565092,0.0016208781682563965,0.001281375399156146,0.0016266631119824793
853,0.0323611509683778,0.001393021795103157,0.0010820460025199555,0.0013899991123242994
1083,0.032225446740842247,0.0012788848408831455,0.0010257268734719979,0.0012871768016332853
1374,0.032274068678072726,0.0010647286286583398,0.0008746367127924633,0.0010691626476974872
1743,0.032558594550504194,0.0010686972855401254,0.000846448970554771,0.001078189537544806
2212,0.032384898468076025,0.0008866134786641653,0.000686522407257458,0.0008844779540778878
2807,0.032340154702191135,0.0007828202963025622,0.0006425058284921342,0.0007829324481537765
3562,0.03230721248325004,0.000712913711174781,0.0005663325757974055,0.0007167841790997973
4520,0.03238658433553618,0.0006220766975892739,0.00048763205119969286,0.0006206081879959972
5736,0.0323956830244675,0.0005720480470084704,0.0004567442196369393,0.00057061782656739
7279,0.03243259186014453,0.0004709641988711605,0.00037478624414251946,0.0004711261640025311
9237,0.032375876812832355,0.0004762608704466747,0.000378183717969741,0.0004755413267467429
11721,0.03244524503664042,0.0003442068113341234,0.0002732262768151764,0.00034670812919520845
14874,0.03239501630767226,0.00035230301432323676,0.0002790072860232175,0.00035142716872650404
18874,0.032362928046351824,0.0003061219722998025,0.00024909258837252574,0.0003072587752942276
23950,0.03238857528243955,0.0002538658721942593,0.0002012044408443607,0.00025337293665500586
30392,0.03242268146390364,0.00023121213956113517,0.0001863874188390067,0.00023205080315794754
38566,0.032372303861717855,0.00022209289133235982,0.00017084628020270208,0.00022291727948777455
48939,0.03238753790476353,0.00018028429213459487,0.00014631962221501988,0.00018008559939957476
62102,0.03237419659907345,0.0001583702288712046,0.00012486156708753994,0.00015962152854368994
78805,0.032402722599367634,0.00015984323819292554,0.00012572280396644392,0.0001595432062917307
100000,0.032397569082824734,0.00013268989884385134,0.00010526743817471352,0.0001323586897965381
