epsilon,queries,alpha_est,alpha_error,var_est,var_error,true_alpha
0.2,256,0.06841434816542613,0.015442156827783507,-1.4877050458179328,0.15714858113354002,0.052972191337642624
0.14285714285714288,256,0.06897300681666793,0.016000815479025307,-1.4834834376903183,0.16137018926115454,0.052972191337642624
0.10204081632653063,256,0.06897300681666793,0.016000815479025307,-1.4834834376903183,0.16137018926115454,0.052972191337642624
0.07288629737609331,512,0.03788616431136882,0.015086027026273804,-1.7757609377129564,0.13090731076148354,0.052972191337642624
0.0520616409829238,704,0.04864296340511522,0.0043292279325274075,-1.6581562794233757,0.013302652471902876,0.052972191337642624
0.03718688641637414,1408,0.05048467762662388,0.0024875137110187406,-1.6401722603719646,0.004681366579508239,0.052972191337642624
0.02656206172598153,1408,0.05048467762662388,0.0024875137110187406,-1.6401722603719646,0.004681366579508239,0.052972191337642624
0.01897290123284395,3392,0.04535145705504179,0.007620734282600836,-1.691701438071684,0.04684781112021108,0.052972191337642624
0.01355207230917425,3392,0.04535145705504179,0.007620734282600836,-1.691701438071684,0.04684781112021108,0.052972191337642624
0.009680051649410179,7296,0.04686915197833785,0.006103039359304771,-1.6759994315470605,0.03114580459558769,0.052972191337642624
0.006914322606721556,7296,0.04686915197833785,0.006103039359304771,-1.6759994315470605,0.03114580459558769,0.052972191337642624
0.004938801861943969,7296,0.04685388981419841,0.006118301523444211,-1.676155287627887,0.031301660676414045,0.052972191337642624
