shots,var_error
64,0.017977970895218798
90,0.10272939779354351
125,0.07420829470017964
176,0.01763221070307419
246,0.03943416614539075
344,0.012589798430580501
482,0.024514406503420627
675,0.006504087685512916
945,0.0076469940117203095
1322,0.1398164435722109
1851,0.0135068320795102
2592,0.006014858522264577
