samples,mean_var,std_var,abs_err
100,0.015121353378413431,0.002092513406902139,0.0017640685963204695
144,0.015079798207502446,0.0018151205443434645,0.0015001371633154461
207,0.01541069698427211,0.0017386791954006157,0.0014044976612181267
298,0.015398783916564041,0.001191258538047974,0.0010116473261748589
428,0.01562035956031246,0.0010512665085382123,0.0008196711948450636
616,0.015573034462603505,0.0009214475310386583,0.0007366436714705282
886,0.015541447390814225,0.0007745750566365348,0.0006145423965693436
1274,0.015622181011957021,0.0006822734603518114,0.0005463912034916231
1833,0.015555140709842805,0.0005320440058035232,0.0004270416154855519
2637,0.015578575946606445,0.000457748284505496,0.00037525480664213085
3793,0.01558951394741594,0.0003985534602467232,0.00030758622025314644
5456,0.01558758514670608,0.0002955480966476061,0.0002467056592766024
7848,0.015630810856842085,0.00028318492495146857,0.00022436900869922955
11288,0.015606369464469574,0.0002259826160852642,0.00018732165152133003
16238,0.015613874680787773,0.00017257312386595482,0.00013520818977721464
23357,0.015625886388379123,0.0001604739500507103,0.00013093643028749832
33598,0.015610153552821426,0.00011607747573907848,9.886515433655506e-05
48329,0.01562557312295398,0.00011355407242588593,9.256962884237181e-05
69519,0.015624258044791428,8.988252536275721e-05,7.392832154671182e-05
100000,0.01561899021802435,7.547632810332932e-05,6.575091117426391e-05
