shots,cvar_error
64,0.0004890396381232384
90,0.0004420103054117233
125,0.0005690056583074893
176,0.000597240683194257
246,0.0013323312299208107
344,0.0005142926908810672
482,0.00015950729770598804
675,0.001222608825933169
945,0.0004828978420129068
1322,0.0003998961059575104
1851,0.0018369933804119887
2592,0.00023490027990315243
