epsilon,queries,var_error
0.2,256.0,0.03240859836329172
0.14285714285714288,320.0,0.03240722542446506
0.10204081632653063,320.0,0.03091782999742216
0.07288629737609331,512.0,0.031696949586401686
0.0520616409829238,1088.0,0.031939969269049365
0.03718688641637414,1216.0,0.03227377905139943
0.02656206172598153,1216.0,0.03206171625295985
0.01897290123284395,2112.0,0.03234950560825265
0.01355207230917425,2944.0,0.03244366656864102
0.009680051649410179,3136.0,0.032618894528351323
0.006914322606721556,9472.0,0.032379478782313426
0.004938801861943969,8448.0,0.0319499145063222
