epsilon,queries,var_error
0.2,320.0,0.029532924798587913
0.14285714285714288,256.0,0.0314246390528416
0.10204081632653063,256.0,0.030646282192915014
0.07288629737609331,448.0,0.032014314409361005
0.0520616409829238,1024.0,0.03262552165734557
0.03718688641637414,1344.0,0.031365400166194636
0.02656206172598153,1664.0,0.031130358359824802
0.01897290123284395,3008.0,0.031965007127202356
0.01355207230917425,3328.0,0.031072073913046724
0.009680051649410179,7232.0,0.031172669534912663
0.006914322606721556,7552.0,0.03144738386674041
0.004938801861943969,14336.0,0.03179301617147644
