samples,mean_var,std_var,abs_err,rmse
100,1.5878067489017895,0.20805136050429723,0.1690752455049071,0.2152284555068542
127,1.6121307759528474,0.19481172038253117,0.16244022348835557,0.19705997397718203
161,1.6077508643767537,0.16695432902738766,0.13721103943216828,0.17061944271318014
204,1.6144872656313984,0.1486082183399764,0.11942192287611032,0.1513145612464723
259,1.6166549103138985,0.11949349516709652,0.09630550834692904,0.12248456853954633
329,1.6404000204192384,0.12015724211003685,0.09335173262964344,0.11993918720950428
418,1.6235611684648195,0.1008274367120271,0.08504504182246225,0.10280423105278326
530,1.6330912322853532,0.08941125328263895,0.07230848595473206,0.08995973699820316
672,1.624290054584568,0.08027047461214266,0.06813331227810009,0.08266796754169795
853,1.6379317824519806,0.07039596695255346,0.053616654098274916,0.07056008881545012
1083,1.6431290826761054,0.06142492244228061,0.050107197297901675,0.0612954324930715
1374,1.6354235389732532,0.059544276950801216,0.046963265400837194,0.06013917086460941
1743,1.6451348670663828,0.04808868009912394,0.038474475999779524,0.047969132198839436
2212,1.6416307742368206,0.04595879445072254,0.036035930434542,0.045956898427192375
2807,1.6476072131088682,0.04207569598773775,0.03302053010890585,0.04206060637478345
3562,1.6484437043099036,0.03551454883378382,0.027834359566359018,0.03560709786562793
4520,1.647209863589345,0.03242284859854039,0.026150236759261817,0.03242740749399049
5736,1.6421165265991464,0.026986102246745518,0.02234247647791932,0.027057349911588598
7279,1.6447986558318508,0.024424194545855305,0.020113047709911975,0.024363119558909355
9237,1.648032667943521,0.018644954047254816,0.014897440327524452,0.01886802696352361
11721,1.6469933133451218,0.019566185241741002,0.0156209825475847,0.019634145888037136
14874,1.6450119609250664,0.018518158240262664,0.014797975721559706,0.01847248341007633
18874,1.643693970763944,0.016243143086580827,0.012808036009904567,0.016243931215003154
23950,1.6432481061019302,0.014226059465864567,0.011409097778731635,0.014280986005349746
30392,1.6441917523479008,0.012246256895828136,0.009592364550954895,0.01223352083047545
38566,1.6447977026601035,0.01025141762671599,0.007869967024503,0.010225909889438767
48939,1.645066265968224,0.009927418186882378,0.0078604015992,0.00990485128860612
62102,1.6448608127770001,0.008483697805131373,0.006666291076083728,0.008462465033466043
78805,1.644098688886196,0.007170264909813068,0.005768686112639178,0.00719204886419119
100000,1.6449519020521814,0.007616385145199153,0.0060463333879063694,0.007597955913403936
